# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20150905-20151005
# ----------------------------------------

Hour Index,Sessions
000000,0
000001,0
000002,0
000003,0
000004,0
000005,1
000006,0
000007,0
000008,0
000009,0
000010,0
000011,1
000012,0
000013,0
000014,0
000015,1
000016,0
000017,0
000018,1
000019,1
000020,0
000021,0
000022,0
000023,0
000024,1
000025,0
000026,1
000027,0
000028,0
000029,0
000030,2
000031,0
000032,0
000033,1
000034,0
000035,0
000036,0
000037,1
000038,0
000039,0
000040,0
000041,0
000042,0
000043,0
000044,0
000045,1
000046,1
000047,0
000048,0
000049,0
000050,0
000051,0
000052,0
000053,0
000054,0
000055,1
000056,0
000057,1
000058,1
000059,2
000060,0
000061,4
000062,3
000063,1
000064,6
000065,0
000066,0
000067,0
000068,0
000069,0
000070,0
000071,0
000072,0
000073,0
000074,0
000075,0
000076,0
000077,0
000078,0
000079,0
000080,1
000081,0
000082,3
000083,2
000084,2
000085,2
000086,6
000087,1
000088,3
000089,1
000090,0
000091,0
000092,6
000093,0
000094,1
000095,1
000096,0
000097,0
000098,0
000099,0
000100,0
000101,0
000102,0
000103,0
000104,1
000105,0
000106,0
000107,2
000108,0
000109,0
000110,1
000111,1
000112,1
000113,0
000114,0
000115,0
000116,0
000117,2
000118,0
000119,0
000120,0
000121,0
000122,0
000123,0
000124,0
000125,0
000126,0
000127,0
000128,0
000129,0
000130,1
000131,0
000132,0
000133,1
000134,0
000135,0
000136,1
000137,0
000138,0
000139,0
000140,0
000141,0
000142,0
000143,0
000144,0
000145,0
000146,0
000147,0
000148,0
000149,0
000150,0
000151,0
000152,0
000153,0
000154,0
000155,0
000156,0
000157,0
000158,0
000159,0
000160,0
000161,0
000162,0
000163,0
000164,0
000165,0
000166,0
000167,0
000168,1
000169,0
000170,0
000171,0
000172,0
000173,0
000174,0
000175,0
000176,1
000177,0
000178,0
000179,0
000180,0
000181,0
000182,0
000183,0
000184,0
000185,0
000186,0
000187,1
000188,0
000189,0
000190,0
000191,0
000192,0
000193,1
000194,0
000195,0
000196,0
000197,0
000198,0
000199,0
000200,0
000201,0
000202,1
000203,0
000204,0
000205,0
000206,0
000207,0
000208,0
000209,0
000210,0
000211,1
000212,0
000213,0
000214,0
000215,0
000216,0
000217,0
000218,0
000219,0
000220,0
000221,0
000222,0
000223,0
000224,0
000225,2
000226,2
000227,1
000228,3
000229,1
000230,0
000231,1
000232,0
000233,3
000234,0
000235,1
000236,0
000237,2
000238,1
000239,0
000240,0
000241,0
000242,0
000243,0
000244,0
000245,0
000246,0
000247,1
000248,0
000249,0
000250,3
000251,2
000252,4
000253,1
000254,1
000255,3
000256,1
000257,1
000258,1
000259,0
000260,0
000261,0
000262,0
000263,0
000264,0
000265,0
000266,0
000267,0
000268,0
000269,0
000270,0
000271,0
000272,1
000273,0
000274,2
000275,2
000276,2
000277,0
000278,3
000279,1
000280,1
000281,1
000282,0
000283,0
000284,0
000285,0
000286,0
000287,0
000288,0
000289,0
000290,0
000291,0
000292,0
000293,0
000294,0
000295,0
000296,0
000297,1
000298,1
000299,1
000300,1
000301,0
000302,2
000303,2
000304,2
000305,1
000306,1
000307,1
000308,0
000309,0
000310,0
000311,0
000312,0
000313,0
000314,0
000315,0
000316,0
000317,0
000318,0
000319,1
000320,0
000321,3
000322,3
000323,0
000324,1
000325,2
000326,1
000327,0
000328,0
000329,1
000330,2
000331,0
000332,0
000333,0
000334,0
000335,0
000336,0
000337,0
000338,0
000339,0
000340,0
000341,0
000342,0
000343,0
000344,0
000345,0
000346,0
000347,0
000348,0
000349,0
000350,0
000351,0
000352,0
000353,0
000354,0
000355,0
000356,1
000357,0
000358,0
000359,0
000360,0
000361,0
000362,0
000363,0
000364,0
000365,0
000366,0
000367,0
000368,0
000369,0
000370,0
000371,0
000372,0
000373,0
000374,0
000375,0
000376,0
000377,0
000378,0
000379,0
000380,0
000381,0
000382,0
000383,0
000384,0
000385,0
000386,0
000387,0
000388,0
000389,2
000390,0
000391,0
000392,0
000393,0
000394,1
000395,3
000396,3
000397,0
000398,1
000399,0
000400,2
000401,1
000402,0
000403,3
000404,1
000405,0
000406,0
000407,0
000408,0
000409,2
000410,0
000411,0
000412,0
000413,0
000414,0
000415,0
000416,0
000417,0
000418,2
000419,2
000420,5
000421,3
000422,2
000423,1
000424,2
000425,2
000426,1
000427,0
000428,0
000429,0
000430,0
000431,0
000432,0
000433,0
000434,0
000435,0
000436,1
000437,0
000438,0
000439,0
000440,0
000441,1
000442,4
000443,2
000444,1
000445,2
000446,1
000447,1
000448,1
000449,0
000450,0
000451,0
000452,0
000453,0
000454,0
000455,0
000456,0
000457,0
000458,0
000459,0
000460,0
000461,0
000462,0
000463,0
000464,0
000465,0
000466,0
000467,3
000468,2
000469,1
000470,1
000471,0
000472,1
000473,2
000474,0
000475,1
000476,0
000477,1
000478,0
000479,0
000480,0
000481,0
000482,2
000483,0
000484,0
000485,0
000486,0
000487,0
000488,0
000489,0
000490,0
000491,0
000492,2
000493,2
000494,0
000495,1
000496,1
000497,1
000498,2
000499,0
000500,0
000501,1
000502,0
000503,0
000504,0
000505,0
000506,2
000507,0
000508,0
000509,0
000510,0
000511,0
000512,0
000513,1
000514,0
000515,1
000516,0
000517,0
000518,0
000519,0
000520,0
000521,0
000522,0
000523,0
000524,1
000525,0
000526,0
000527,0
000528,0
000529,0
000530,0
000531,0
000532,0
000533,0
000534,0
000535,0
000536,0
000537,0
000538,0
000539,0
000540,0
000541,0
000542,0
000543,0
000544,0
000545,0
000546,0
000547,0
000548,2
000549,0
000550,0
000551,0
000552,0
000553,0
000554,0
000555,0
000556,0
000557,0
000558,0
000559,0
000560,0
000561,0
000562,0
000563,0
000564,1
000565,3
000566,1
000567,0
000568,3
000569,0
000570,0
000571,0
000572,0
000573,0
000574,0
000575,0
000576,0
000577,0
000578,0
000579,0
000580,0
000581,0
000582,0
000583,0
000584,0
000585,0
000586,3
000587,1
000588,1
000589,5
000590,3
000591,2
000592,0
000593,1
000594,1
000595,0
000596,0
000597,0
000598,0
000599,0
000600,0
000601,0
000602,0
000603,0
000604,0
000605,0
000606,0
000607,0
000608,0
000609,1
000610,8
000611,6
000612,3
000613,2
000614,1
000615,1
000616,1
000617,1
000618,0
000619,0
000620,1
000621,1
000622,0
000623,0
000624,0
000625,0
000626,0
000627,0
000628,3
000629,1
000630,0
000631,0
000632,0
000633,0
000634,2
000635,1
000636,3
000637,2
000638,1
000639,2
000640,0
000641,0
000642,0
000643,0
000644,0
000645,0
000646,0
000647,0
000648,0
000649,0
000650,0
000651,0
000652,0
000653,0
000654,0
000655,0
000656,0
000657,0
000658,1
000659,0
000660,1
000661,2
000662,1
000663,3
000664,1
000665,0
000666,1
000667,0
000668,0
000669,1
000670,1
000671,0
000672,0
000673,0
000674,0
000675,0
000676,0
000677,0
000678,0
000679,0
000680,2
000681,5
000682,3
000683,3
000684,2
000685,0
000686,0
000687,2
000688,1
000689,1
000690,0
000691,3
000692,1
000693,0
000694,0
000695,0
000696,0
000697,0
000698,0
000699,2
000700,0
000701,0
000702,0
000703,0
000704,0
000705,0
000706,0
000707,0
000708,0
000709,0
000710,0
000711,0
000712,0
000713,0
000714,0
000715,0
000716,1
000717,0
000718,0
000719,0
000720,0
000721,0
000722,0
000723,0
000724,0
000725,0
000726,0
000727,0
000728,0
000729,8
000730,5
000731,2
000732,2
000733,1
000734,0
000735,2
000736,0
000737,2
000738,0
000739,0
000740,0
000741,0
000742,0
000743,0
,364

